Rk,Team,Age,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
1,Philadelphia 76ers*,26.7,0.501,16.3,37.1,0.273,0.464,15.8,66.2,0.217,LeagueChampion
2,Boston Celtics*,27.3,0.494,15.2,34.7,0.229,0.473,16,68.1,0.236,Promotion
3,Los Angeles Lakers*,26.9,0.528,15.9,36.3,0.199,0.494,15.5,65.3,0.191,Promotion
4,Phoenix Suns*,26.6,0.499,16,32,0.227,0.458,15.9,67.5,0.235,Promotion
5,Milwaukee Bucks*,28.1,0.491,15.1,31.8,0.243,0.459,15.5,65.5,0.228,Promotion
6,San Antonio Spurs*,27.2,0.51,15.1,35.3,0.257,0.489,14.4,69.1,0.228,Promotion
7,Seattle SuperSonics*,27.4,0.496,15.5,32.5,0.247,0.464,14.3,66.2,0.21,Promotion
8,New Jersey Nets*,25.2,0.494,18.7,36.8,0.227,0.481,18.9,68.8,0.251,Promotion
9,New York Knicks*,26.5,0.484,16.2,31.6,0.239,0.478,18.1,67.8,0.257,Promotion
10,Portland Trail Blazers*,25.5,0.488,15.4,33.3,0.26,0.49,16,67.9,0.218,Promotion
11,Kansas City Kings,24.5,0.5,16.4,34.3,0.246,0.49,16.8,65.8,0.291,Phaseout
12,Denver Nuggets*,27.2,0.495,14,31,0.272,0.509,15.1,64.8,0.22,Promotion
13,Washington Bullets,25.8,0.473,16.6,30.4,0.206,0.471,16.2,68.6,0.214,Phaseout
14,Detroit Pistons,24.6,0.481,15.1,33.6,0.253,0.496,15.4,66.2,0.214,Phaseout
15,Dallas Mavericks,24.2,0.489,13.5,34.8,0.245,0.506,14,66.2,0.228,Phaseout
16,Atlanta Hawks*,26.6,0.472,15,30.7,0.222,0.473,15.2,65.1,0.223,Promotion
17,Golden State Warriors,24.7,0.485,15.9,33.9,0.216,0.513,16.9,64.6,0.241,Phaseout
18,Utah Jazz,25.7,0.483,16.7,29,0.251,0.481,15.2,63.9,0.208,Phaseout
19,Chicago Bulls,24.5,0.483,16.9,34,0.269,0.498,14.3,67.9,0.237,Phaseout
20,San Diego Clippers,24.8,0.479,15.7,37.1,0.208,0.531,17.6,65.8,0.284,Phaseout
21,Indiana Pacers,24.9,0.483,15.2,33.6,0.187,0.52,16.4,65.5,0.249,Phaseout
22,Cleveland Cavaliers,26.4,0.467,16.4,33,0.204,0.492,13.8,71.3,0.258,Phaseout
23,Houston Rockets,29,0.453,15.9,30.8,0.188,0.505,15.4,65.4,0.246,Phaseout
,League Average,26.2,0.488,15.8,33.4,0.233,0.488,15.8,66.6,0.233,Phaseout
