Rk,Team,Age,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
1,Boston Celtics*,27.3,0.501,15.4,34.8,0.258,0.475,16.5,67.8,0.234,Promotion
2,Los Angeles Lakers*,26.2,0.53,16.5,32.6,0.22,0.475,14,66.9,0.181,LeagueChampion
3,Seattle SuperSonics*,27,0.474,14.9,36.4,0.229,0.463,15.4,67.9,0.221,Promotion
4,Philadelphia 76ers*,27,0.494,17.2,33.5,0.262,0.46,15.5,66.7,0.217,Promotion
5,Milwaukee Bucks*,25.3,0.491,15,35.2,0.212,0.467,16.2,63.8,0.229,Promotion
6,Phoenix Suns*,26.5,0.498,16.4,30.4,0.263,0.483,16.5,66.9,0.213,Promotion
7,Atlanta Hawks*,26.1,0.465,15.4,36.9,0.29,0.461,17.1,65.6,0.291,Promotion
8,Kansas City Kings*,25.5,0.48,14.5,31,0.223,0.479,17.9,68.1,0.273,Promotion
9,Cleveland Cavaliers,27.4,0.476,13.2,33.1,0.212,0.505,16.3,65.9,0.216,Phaseout
10,Houston Rockets*,27.3,0.487,15.5,37.6,0.238,0.499,16.1,63.2,0.23,Promotion
11,San Antonio Spurs*,26.9,0.502,15.2,31.8,0.262,0.506,14.4,66.8,0.216,Promotion
12,Indiana Pacers,25.3,0.479,14.8,35.4,0.228,0.493,17,62.5,0.23,Phaseout
13,Portland Trail Blazers*,26.3,0.477,16.1,35.5,0.218,0.482,15.3,67.9,0.245,Promotion
14,New York Knicks,24.1,0.498,15.7,33.7,0.221,0.498,16.4,64,0.263,Phaseout
15,New Jersey Nets,26.1,0.466,16.6,32.1,0.251,0.472,16.5,66.4,0.263,Phaseout
16,Washington Bullets*,29,0.463,13.7,33.3,0.199,0.469,12.3,69.5,0.218,Promotion
17,Chicago Bulls,25.9,0.489,17.2,32.2,0.291,0.5,15.7,68,0.251,Phaseout
18,San Diego Clippers,27.6,0.482,14.6,34.2,0.213,0.503,14.2,65.4,0.215,Phaseout
19,Golden State Warriors,26.3,0.484,15.5,31.1,0.193,0.498,15.5,69.8,0.273,Phaseout
20,Denver Nuggets,27.1,0.469,15.1,33.6,0.25,0.497,14.4,67.8,0.224,Phaseout
21,Utah Jazz,25.9,0.5,16.7,29.7,0.23,0.5,13.5,67.1,0.237,Phaseout
22,Detroit Pistons,24.7,0.483,16.9,32.3,0.209,0.499,15.2,64.7,0.239,Phaseout
