Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
26.1,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,106.1,0.321,0.04,0.518,0.466,16.6,32.1,0.251,0.472,16.5,66.4,0.263,Phaseout
29,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,102.6,0.263,0.031,0.504,0.463,13.7,33.3,0.199,0.469,12.3,69.5,0.218,Promotion
25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107,101.8,0.373,0.04,0.545,0.489,17.2,32.2,0.291,0.5,15.7,68,0.251,Phaseout
27.6,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,101.4,0.289,0.072,0.522,0.482,14.6,34.2,0.213,0.503,14.2,65.4,0.215,Phaseout
26.3,24,58,29,53,-4.39,0.2,-4.2,102,106.3,100.5,0.262,0.017,0.52,0.484,15.5,31.1,0.193,0.498,15.5,69.8,0.273,Phaseout
27.1,30,52,30,52,-4.41,0.2,-4.22,103.4,107.6,103.9,0.34,0.034,0.517,0.469,15.1,33.6,0.25,0.497,14.4,67.8,0.224,Phaseout
25.9,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,97.6,0.285,0.027,0.547,0.5,16.7,29.7,0.23,0.5,13.5,67.1,0.237,Phaseout
24.7,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,107.1,0.283,0.029,0.523,0.483,16.9,32.3,0.209,0.499,15.2,64.7,0.239,Phaseout
27.2,62,20,60,22,7.85,-0.09,7.76,107,99.5,103.4,0.343,0.012,0.562,0.515,17.3,32.3,0.264,0.454,16.3,67.1,0.252,Promotion
26.6,60,22,59,23,7.27,-0.13,7.14,108.7,101.8,103.6,0.313,0.018,0.546,0.5,15.7,36.3,0.241,0.461,16.6,65.6,0.28,Promotion
27,62,20,56,26,5.88,0.17,6.05,108.4,102.6,100.8,0.334,0.034,0.553,0.509,16.2,34.7,0.251,0.464,15.1,67,0.24,LeagueChampion
25.7,57,25,55,27,5.51,-0.68,4.83,104.6,99.4,104.7,0.332,0.022,0.537,0.492,17.1,35.1,0.247,0.471,17.5,68.2,0.244,Promotion
27,54,28,51,31,3.84,-0.57,3.27,107.6,103.9,102.7,0.286,0.013,0.548,0.513,15.8,33.9,0.209,0.468,14.6,64.4,0.208,Promotion
26.5,45,37,46,36,1.98,0.37,2.34,107.8,105.8,100.6,0.371,0.026,0.556,0.504,17.2,36.9,0.288,0.493,15.5,68.4,0.232,Promotion
